====================================================================================================
🔍 比对 ufbook 和 uf2zhihu 中的图片
====================================================================================================

📋 扫描 ufbook/docs 中的图片...
   找到 5231 个图片文件

🔄 开始比对图片...

[1/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\013_plus0.0s.png
[2/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\016_plus0.0s.png
[3/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\085_plus0.0s.png
[4/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\088_plus0.0s.png
[5/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\114_plus0.0s.png
[6/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\124_plus0.0s.png
[7/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\139_plus0.0s.png
[8/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\152_plus0.0s.png
[9/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\156_plus0.0s.png
[10/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\159_plus0.0s.png
[11/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\167_plus0.0s.png
[12/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\173_plus0.0s.png
[13/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\179_plus0.0s.png
[14/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\203_plus0.0s.png
[15/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\206_plus0.0s.png
[16/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\212_plus0.0s.png
[17/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\215_plus0.0s.png
[18/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\225_plus0.0s.png
[19/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\241_plus0.0s.png
[20/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\251_plus0.0s.png
[21/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\258_plus0.0s.png
[22/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\267_plus0.0s.png
[23/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\273_plus0.0s.png
[24/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\283_plus0.0s.png
[25/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\292_plus0.0s.png
[26/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\299_plus0.0s.png
[27/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\314_plus0.0s.png
[28/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\319_plus0.0s.png
[29/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\332_plus0.0s.png
[30/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\364_plus0.0s.png
[31/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\372_plus0.0s.png
[32/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\377_plus0.0s.png
[33/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\379_plus0.0s.png
[34/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\381_plus0.0s.png
[35/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\396_plus0.0s.png
[36/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\408_plus0.0s.png
[37/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\418_plus0.0s.png
[38/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\467_plus0.0s.png
[39/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\470_plus0.0s.png
[40/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\479_plus0.0s.png
[41/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\484_plus0.0s.png
[42/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\489_plus0.0s.png
[43/5231] ✅ 相同: animation-physics\cloth-animation-workflow\Screenshots\492_plus0.0s.png
[44/5231] ❌ 未找到源: animation-physics\cloth-animation-workflow\UE5_Contact.png
[45/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\007_plus0.0s.png
[46/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\009_plus0.0s.png
[47/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\011_plus0.0s.png
[48/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\012_plus0.0s.png
[49/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\013_plus0.0s.png
[50/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\014_plus0.0s.png
[51/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\015_plus0.0s.png
[52/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\016_plus0.0s.png
[53/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\017_plus0.0s.png
[54/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\018_plus0.0s.png
[55/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\019_plus0.0s.png
[56/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\020_plus0.0s.png
[57/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\021_plus0.0s.png
[58/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\022_plus0.0s.png
[59/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\023_plus0.0s.png
[60/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\024_plus0.0s.png
[61/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\025_plus0.0s.png
[62/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\026_plus0.0s.png
[63/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\027_plus0.0s.png
[64/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\037_plus0.0s.png
[65/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\047_plus0.0s.png
[66/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\048_plus0.0s.png
[67/5231] ✅ 相同: animation-physics\panel-cloth\Screenshots\049_plus0.0s.png
